id,nome,cidade,total_pedidos,valor_medio,horario,nps
f0a56803-8298-4605-a156-7af9dd282159,Christy Gonzalez,Davidton,0,0.00,manhã,0
6c24ba74-1db1-470e-9d2c-e476f6c46fb2,Kimberly Watkins,Fischershire,0,0.00,manhã,0
1a5c55af-529e-42d2-8918-86c95c03da4e,Mr. Jeremy Cross,Philipport,0,0.00,manhã,0
676201e7-8234-405f-8d57-0c6cd2137143,Heather Kelley,Nelsonborough,0,0.00,manhã,0
2a4a2a65-30e9-4e23-bcf5-1092a5bc2369,Christopher Stanley,East Mary,0,0.00,manhã,0
948f48b0-5435-4edd-81a3-5ef3bcacce6a,Lisa Lawson,New Susan,0,0.00,manhã,0
8383f8f3-9fe5-4f73-a123-631e54953c55,Heather Stephens,Lindseytown,0,0.00,manhã,0
917d486c-dd37-41f2-947a-01c6924e4b62,Kathryn Thomas,South John,0,0.00,manhã,0
823617ed-54bf-4189-bd12-b3eac4906b1f,Roger Cabrera,Port Angela,0,0.00,manhã,0
f02cb475-fb4d-48a0-a099-6801e57b5680,Jack Alexander,Armstrongbury,0,0.00,manhã,0
3dd9eeb2-7bf4-4838-8282-ccf19b10553b,Daniel Reynolds,Port Joshuahaven,0,0.00,manhã,0
d7067005-45fc-4522-befa-990378392530,Andrew Arroyo,South Dawn,0,0.00,manhã,0
c1e51b5d-4f69-4283-b8c3-08ee74b5c7f6,Steven Bartlett,Hudsonmouth,0,0.00,manhã,0
a4786120-1589-43ed-8055-3bc36283d01f,Dr. Amanda Solis,Heatherberg,0,0.00,manhã,0
7a9b0dd5-b1da-4a07-bbae-e2411943f057,Theresa May,Wayneshire,0,0.00,manhã,0
368704d2-759d-43be-b67e-55ea196ffd7b,Emily Pineda,South Stephenborough,0,0.00,manhã,0
30986a15-a7e7-4a24-a860-96a5804407f6,Matthew Gomez,Craigtown,0,0.00,manhã,0
9c3f923a-e612-4016-84b1-c1d85a8777e3,Ethan Weaver,Lake Elizabeth,0,0.00,manhã,0
337531e6-9af5-461e-ac1d-73362ee50bbd,Debbie Collins MD,Bryanfurt,0,0.00,manhã,0
9d1524db-3c7d-49b2-a02b-0c80a4d93ccf,Megan Lang,Phillipschester,0,0.00,manhã,0
f4cce502-4b97-463d-bcea-714417e4992e,Dawn Randolph,West Angela,0,0.00,manhã,0
d92df37b-2783-49b8-83ac-c349182aaee7,Stephanie Martinez,South Sharon,0,0.00,manhã,0
ef06adbf-62b1-4ae4-8d05-615e4862eb71,Chelsea Davila,North Connorberg,0,0.00,manhã,0
7908acd4-4cbc-4afb-9d0f-3dafdfba66f1,Jacob Garcia,Oconnorview,0,0.00,manhã,0
6e63c437-8649-43a9-b65a-b5b2d825b692,Rhonda Martin,South Adamtown,0,0.00,manhã,0
e333200a-ae71-4948-b625-f713c1d5afc3,Melissa Moreno,Victorialand,0,0.00,manhã,0
d3791e83-5ac6-4e21-a8c6-c1a2ba414bd3,Logan Cook,West Ryantown,0,0.00,manhã,0
12dc1f40-93b4-483a-8ffe-ca6f0ecf7804,Ms. Amy Morrison MD,Lake Colton,0,0.00,manhã,0
